phase,class,support,detected,missed,recall
ARP Spoofing,Spoofing,1744,1275,469,0.7310779816513762
Impact: DDoS,DDoS-ICMP,349699,349333,366,0.9989533856259241
Impact: DDoS,DDoS-SYN,172397,171519,878,0.9949071039519249
Impact: DDoS,DDoS-TCP,182598,181456,1142,0.993745824160177
Impact: DDoS,DDoS-UDP,362070,361437,633,0.998251719280802
Impact: DoS,DoS-ICMP,98432,98004,428,0.9956518205461639
Impact: DoS,DoS-SYN,98595,86068,12527,0.872944875500786
Impact: DoS,DoS-TCP,82096,81192,904,0.9889885012668096
Impact: DoS,DoS-UDP,137553,137111,442,0.9967866931291939
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41734,182,0.9956579826319305
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,5952,2464,0.7072243346007605
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3109,22,0.9929734908974769
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,5142,3363,0.6045855379188713
Impact: MQTT,MQTT-Malformed_Data,1747,1053,694,0.6027475672581568
Reconnaissance,Recon-OS_Scan,3834,3383,451,0.8823682837767345
Reconnaissance,Recon-Ping_Sweep,186,128,58,0.6881720430107527
Reconnaissance,Recon-Port_Scan,22622,22061,561,0.9752011316417647
Reconnaissance,Recon-VulScan,1034,637,397,0.6160541586073501
