epoch,loss,val_loss
1,6.182936668395996,1.820654034614563
2,3.4987969398498535,1.4431324005126953
3,3.0580153465270996,1.217791199684143
4,2.7915613651275635,1.1307616233825684
5,2.6147518157958984,1.2432527542114258
6,2.4784786701202393,1.078282117843628
7,2.427778720855713,1.137861728668213
8,2.312990188598633,1.1836910247802734
9,2.2992897033691406,1.1832929849624634
10,2.2139804363250732,1.016980528831482
11,2.185633659362793,1.073195219039917
12,2.1793017387390137,0.9300588965415955
13,2.141629457473755,1.0013071298599243
14,2.08770489692688,1.0095409154891968
15,2.0783843994140625,1.238404393196106
16,2.0614967346191406,0.9275854825973511
17,2.0016891956329346,1.021297574043274
18,1.9732412099838257,1.0462225675582886
19,1.9499424695968628,1.002010464668274
20,1.9336727857589722,1.2041298151016235
