phase,n_classes,support,detected,missed,macro_recall,weighted_recall
Reconnaissance,4,27676,26209,1467,0.7904489042591505,0.9469937852290794
ARP Spoofing,1,1744,1275,469,0.7310779816513762,0.7310779816513762
Impact: DoS,4,416676,402375,14301,0.9635929726107383,0.9656783688045388
Impact: DDoS,4,1066764,1063745,3019,0.996464508254707,0.997169945742451
Impact: MQTT,5,63715,56990,6725,0.7806377826614392,0.8944518559208977
