percentile,tau,calibration_exceedance_rate,test_benign_fpr_minus_calibration_exceedance,recall_attack,precision_attack,fpr,specificity,balanced_accuracy,f1_attack,f1_macro,kappa,tp,fp,tn,fn,n_alerts
85,0.8896094560623169,0.14999870288219577,0.09019594173183884,0.9835206063777492,0.994208230557691,0.2401946446140346,0.7598053553859654,0.8716629808818572,0.9888355405678588,0.8044587850188527,0.609305825815857,1550594,9033,28574,25981,1559627
90,1.4464410543441772,0.10000778270682543,0.07131670475561507,0.7609482580911152,0.9946581435743097,0.1713244874624405,0.8286755125375594,0.7948118853143373,0.862247233811644,0.5010523059785107,0.10152511067412838,1199692,6443,31164,376883,1206135
95,2.4993815422058105,0.050016862531455104,0.04674703780624798,0.16691435548578407,0.9863601607244595,0.09676390033770309,0.9032360996622969,0.5350752275740405,0.2855134110570494,0.16728239042170498,0.0038975297748081853,263153,3639,33968,1313422,266792
99,6.271190643310547,0.010013749448724933,0.016257955287095525,0.036548847977419405,0.9831428083944719,0.02627170473582046,0.9737282952641796,0.5051385716207994,0.07047765237572508,0.05822368852913116,0.0004964675119241161,57622,988,36619,1518953,58610
