Variant,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted),Kappa,Best Iteration,Train Time (s),Pred Time (s),Latency/Sample (ms),Throughput (samples/s),Δ Accuracy,Δ F1 (macro)
original,0.5351992526245491,0.25142273009810995,0.2381807965483396,0.22560973077610869,0.5238178398866093,0.4594141073762754,0,0,0,0.0,0,0.0,0.0
tuned_best,0.8281364802729804,0.853624308341577,0.7796352110461593,0.7598108464476082,0.8017050606258446,0.8007100019992796,0,0,0,0.0,0,0.2929372276484312,0.5342011156714995
