Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted),Kappa,Train Time (s),Pred Time (s),Latency per Sample (ms),Throughput (samples/s),Latency Mean (ms),Latency Std (ms),Latency P50 (ms),Latency P95 (ms),Latency P99 (ms),Batch Throughput (samples/s),Model Disk Size (MB),Model RAM Size (MB),GCP Instance,GCP $/hr,Cost Single Run ($),Cost Annual Retrain ($),Cost Annual Total ($),GPU Memory Peak (MB),CPU Memory Peak (MB),GPU Power Avg (W),GPU Power Max (W),GPU Energy (Wh)
Random Forest,0.9986129197327192,0.9879938391624149,0.9813669477150819,0.9846565981431866,0.9986081784538215,0.969313231920785,0.0,0.0,0.0,0.0,13.576,1.149,13.4215,14.2493,16.8123,6366.2,81.52,81.52,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
Logistic Regression,0.9954174931946955,0.9484542057855772,0.9511659862578574,0.9498057921118523,0.995424399859165,0.899611607134535,0.0,0.0,0.0,0.0,0.0248,0.0132,0.0224,0.0329,0.0669,3241201.1,0.0,0.0,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
LightGBM (Original),0.9984183939605323,0.983113762114167,0.9820979730117467,0.9826053058424515,0.9984175617192341,0.9652106126483557,0.0,0.0,0.0,0.0,1.0524,0.695,0.8966,2.1384,4.4541,99122.3,0.34,0.34,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
LightGBM (Tuned),0.9986222123651484,0.9730397640897611,0.9981525872319759,0.9852545213183985,0.9986400252840145,0.9705095506943201,0.0,0.0,0.0,0.0,0.85,0.6741,0.7188,1.1761,4.4258,95055.0,3.37,3.37,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
1D-CNN,0.9959669975256817,0.938564006433001,0.9785199300123953,0.9576237628206548,0.9960548489696833,0.9152517553580471,0.0,0.0,0.0,0.0,39.5939,4.5802,38.8071,46.9251,52.9366,2001.1,1.58,0.96,n1-standard-8 + T4 GPU,0.54,0.0,0.0,0.0,,,,,
Light-CNN,0.9960989529061779,0.9325044198950447,0.9911634095950086,0.9598671071948977,0.9962228105514951,0.9197429251751806,725.5642604827881,72.53170156478882,0.04493402947424071,22254.848089536885,39.9089,7.2628,39.2709,46.1185,52.9245,1730.3,0.12,0.12,n1-standard-8 + T4 GPU,0.54,0.1197,5.66,9.63,3577.0,9798.6,17.59,35.78,3.921
