Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),Precision (weighted),Recall (weighted),F1 (weighted),Kappa,Train Time (s),Pred Time (s),Latency/Sample (ms),Throughput (samples/s),Latency Mean (ms),Latency Std (ms),Latency P50 (ms),Latency P95 (ms),Latency P99 (ms),Batch Throughput (samples/s),GPU Memory Peak (MB),CPU Memory Peak (MB),GPU Power Avg (W),GPU Power Max (W),GPU Energy (Wh),Model Disk (MB),Model RAM (MB),GCP Instance,GCP $/hr,Cost/Run ($),Cost Annual Retrain ($),Cost Annual Total ($)
Random Forest,0.9986129197327192,0.9879938391624148,0.981366947715082,0.9846565981431866,0.9986057070981088,0.9986129197327192,0.9986081784538215,0.969313231920785,164.8,0.0,0.0,0.0,13.576,1.149,13.4215,14.2493,16.8123,6366.2,0.0,0.0,0.0,0.0,0.0,81.52,81.52,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0
Logistic Regression,0.9954174931946956,0.9484542057855772,0.9511659862578574,0.9498057921118525,0.9954317180003392,0.9954174931946956,0.995424399859165,0.899611607134535,39.4,0.0,0.0,0.0,0.0248,0.0132,0.0224,0.0329,0.0669,3241201.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0
LightGBM (Original),0.9984183939605324,0.983113762114167,0.9820979730117468,0.9826053058424516,0.9984167830827252,0.9984183939605324,0.998417561719234,0.9652106126483556,9.0,0.0,0.0,0.0,1.0524,0.695,0.8966,2.1384,4.4541,99122.3,0.0,0.0,0.0,0.0,0.0,0.34,0.34,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0
LightGBM (Tuned),0.9986222123651484,0.9730397640897612,0.998152587231976,0.9852545213183984,0.998690482362996,0.9986222123651484,0.9986400252840144,0.97050955069432,405.9,0.0,0.0,0.0,0.85,0.6741,0.7188,1.1761,4.4258,95055.0,0.0,0.0,0.0,0.0,0.0,3.37,3.37,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0
1D-CNN,0.9959669975256816,0.938564006433001,0.9785199300123952,0.9576237628206548,0.9962306433306704,0.9959669975256816,0.9960548489696832,0.9152517553580471,156.9,0.0,0.0,0.0,39.5939,4.5802,38.8071,46.9251,52.9366,2001.1,0.0,0.0,0.0,0.0,0.0,1.58,0.96,n1-standard-8 + T4 GPU,0.54,0.0,0.0,0.0
Light-CNN,0.996098952906178,0.9325044198950448,0.9911634095950086,0.9598671071948977,0.9965352369272882,0.996098952906178,0.9962228105514952,0.9197429251751806,725.5642604827881,72.53170156478882,0.0449340294742407,22254.848089536885,39.9089,7.2628,39.2709,46.1185,52.9245,1730.3,3577.0,9798.6,17.59,35.78,3.921,0.12,0.12,n1-standard-8 + T4 GPU,0.54,0.1197,5.66,9.63
Autoencoder,0.9808243432277154,0.779336591114012,0.8827754375597672,0.8223693310489566,0.984667132852418,0.9808243432277154,0.9823211030489539,0.6450004055712387,0.0,60.0937,0.0372,26861.1,49.4075,5.1595,48.0506,59.1764,68.2264,1476.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,n1-standard-8 + T4 GPU,0.54,0.009,0.0,3.29
