Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted),Kappa,Train Time (s),Pred Time (s),Latency per Sample (ms),Throughput (samples/s),Latency Mean (ms),Latency Std (ms),Latency P50 (ms),Latency P95 (ms),Latency P99 (ms),Batch Throughput (samples/s),Model Disk Size (MB),Model RAM Size (MB),GCP Instance,GCP $/hr,Cost Single Run ($),Cost Annual Retrain ($),Cost Annual Total ($),GPU Memory Peak (MB),CPU Memory Peak (MB),GPU Power Avg (W),GPU Power Max (W),GPU Energy (Wh)
Random Forest,0.9985571639381433,0.9407463506838926,0.9612938461291268,0.9500503774732469,0.998583228599402,0.9970804885786884,0.0,0.0,0.0,0.0,14.3658,3.403,13.462,23.8146,30.8594,5867.9,275.04,275.04,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
Logistic Regression,0.7691239277850949,0.7791589181402568,0.725887640714753,0.7111163743219113,0.7088317060989523,0.4381836706079,0.0,0.0,0.0,0.0,0.0239,0.0379,0.0203,0.0337,0.0664,840064.3,0.0,0.0,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
LightGBM (Original),0.9906398411083757,0.8763919161368704,0.885112233066892,0.8804918116439411,0.9907082100790717,0.9810570974070705,0.0,0.0,0.0,0.0,0.9126,0.9388,0.6826,2.3286,5.4009,32236.7,2.01,2.01,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
LightGBM (Tuned),0.9980770445959626,0.9482462780724955,0.9244062914693109,0.9347633999926556,0.9980485799021586,0.9961090261535152,0.0,0.0,0.0,0.0,1.599,1.6167,0.8518,5.3408,5.8093,30942.6,13.61,13.61,n1-standard-8 (CPU only),0.19,0.0,0.0,0.0,,,,,
1D-CNN,0.9918051372150104,0.8524850623546222,0.9432099917755021,0.8505780546363404,0.9935773762157436,0.9834263652916426,0.0,0.0,0.0,0.0,40.1282,7.125,39.4929,46.4338,54.0617,2023.4,1.59,0.96,n1-standard-8 + T4 GPU,0.54,0.0,0.0,0.0,,,,,
Light-CNN,0.6700105688206163,0.7030439039347215,0.8012181858673353,0.6981247295921831,0.680328984993833,0.36060484645882407,341.153342962265,58.51861786842346,0.03625280040814695,27584.07595390269,39.5873,3.9499,39.2393,46.5852,52.6586,1951.1,0.13,0.13,n1-standard-8 + T4 GPU,0.54,0.06,2.66,5.86,3608.0,11632.1,17.64,32.26,1.9706
