Variant,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted),Kappa,Best Iteration,Train Time (s),Pred Time (s),Latency/Sample (ms),Throughput (samples/s),Δ Accuracy,Δ F1 (macro)
original,0.9984183939605323,0.983113762114167,0.9820979730117467,0.9826053058424515,0.9984175617192341,0.9652106126483557,0,0,0,0.0,0,0.0,0.0
tuned_best,0.9986222123651484,0.9730397640897611,0.9981525872319759,0.9852545213183985,0.9986400252840145,0.9705095506943201,0,0,0,0.0,0,0.00020381840461602962,0.0026492154759469866
