Variant,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted),Kappa,Best Iteration,Train Time (s),Pred Time (s),Latency/Sample (ms),Throughput (samples/s),Δ Accuracy,Δ F1 (macro)
original,0.9906398411083757,0.8763919161368704,0.885112233066892,0.8804918116439411,0.9907082100790717,0.9810570974070705,0,0,0,0.0,0,0.0,0.0
tuned_best,0.9980770445959626,0.9482462780724955,0.9244062914693109,0.9347633999926556,0.9980485799021586,0.9961090261535152,0,0,0,0.0,0,0.007437203487586919,0.05427158834871448
