Scenario,Model,Device,SingleSample_Mean_ms,SingleSample_Median_ms,SingleSample_P95_ms,SingleSample_P99_ms,Batch_Throughput_samples_s,Batch_Amortized_ms,Batch_Total_s
2-class,1D-CNN,GPU,48.706379,46.783777,63.140019,76.334985,292907.382812,0.003414,5.510896
2-class,Light-CNN,GPU,49.498503,48.031222,63.249259,72.383705,274443.036421,0.003644,5.881665
6-class,1D-CNN,GPU,49.482901,47.752022,63.463807,72.930132,284741.436920,0.003512,5.668940
6-class,Light-CNN,GPU,63.282282,56.976499,103.429533,116.249101,224606.283304,0.004452,7.186718
19-class,1D-CNN,GPU,50.928897,49.117212,66.212179,72.934086,268537.843245,0.003724,6.011004
19-class,Light-CNN,GPU,52.710110,49.692823,66.013031,81.938513,242943.564806,0.004116,6.644267
19-class,Autoencoder,GPU,51.754708,50.037244,66.303549,78.366926,217241.122800,0.004603,7.430370
