phase,support,recall_metric,mean,sd,ci95_low,ci95_high,median,q1,q3,min,max,n_seeds
Reconnaissance,27676,macro_recall,0.786428079947588,0.009570193439541594,0.7745451152978634,0.7983110445973126,0.7904489042591505,0.7790019546300682,0.7944805198011826,0.7736307264135577,0.7945782946339813,5
ARP Spoofing,1744,macro_recall,0.7292431192660551,0.010653416662838174,0.7160151553379449,0.7424710831941653,0.7345183486238532,0.7310779816513762,0.7345183486238532,0.7104357798165137,0.7356651376146789,5
Impact: DoS,416676,macro_recall,0.9912542130800233,0.01576557381174592,0.9716786676669542,1.0108297584930923,0.9998752530265652,0.9928467893402502,0.9999604035293634,0.9635929726107384,0.9999956468931994,5
Impact: DDoS,1066764,macro_recall,0.9987414076174861,0.0015718185189981478,0.9967897371507362,1.000693078084236,0.9997620822940636,0.9977169119387468,0.9998271224170509,0.996464508254707,0.9999364131828632,5
Impact: MQTT,63715,macro_recall,0.8672043269151523,0.05178960509731448,0.8028990387846268,0.9315096150456778,0.8770762254393633,0.8765922915966959,0.8810561109051985,0.7806377826614392,0.920659223973064,5
