benchmark_type,batch_size,latency_ms_mean_of_seed_medians,latency_ms_sd_of_seed_medians,latency_ms_median_of_seed_medians,latency_ms_mean_of_seed_p95,latency_ms_sd_of_seed_p95,latency_ms_mean_of_seed_p99,latency_ms_sd_of_seed_p99,throughput_mean_of_seed_medians,throughput_sd_of_seed_medians,n_seeds
end_to_end,1,7.926639999999999,2.4832185678067082,6.82875,10.795468000000001,4.34629530502933,13.024198599999997,6.255214869867883,133.5675119825612,29.600085036137482,5
end_to_end,32,8.324720000000001,3.001889942727748,7.14855,9.78641,3.612312252505311,11.220842600000008,4.09407802178529,4135.789048653405,1013.8437555579934,5
end_to_end,256,8.42129,2.86155554930356,7.086650000000001,9.469726999999999,3.1625968788967556,10.132806600000002,3.3123579221209316,32481.856485544675,7684.961276209681,5
end_to_end,512,8.777719999999999,2.9687827856294913,7.39905,10.902015,4.541409340910871,12.203981000000011,4.55468321961545,62310.741745016596,14772.106542481662,5
end_to_end,4096,12.177509999999998,2.1939633005704535,11.26915,13.345505,2.6008050838057812,14.104497600000006,2.5537846262581145,343589.5395106498,50223.41844974413,5
full_test_end_to_end,4096,21256.372,4147.692001097575,19308.2494,22210.879800000002,4704.4235389930445,22236.413304000005,4716.688971628667,77920.74412273397,12763.949693806111,5
model_only,1,7.94262,2.876052955353917,6.70825,9.1467,3.6008404837777097,10.0173116,4.0927249651171635,135.47267276154628,33.04147054723436,5
model_only,32,8.19358,2.9994984979992907,6.81095,9.302633,3.8757273748236596,9.662784400000001,3.93991271063672,4210.874264051384,1045.5774995669105,5
model_only,256,8.26012,2.8582365143563613,6.98615,9.263698,3.2673337677351695,9.671417000000002,3.1883132668570244,33168.74530454962,7869.514444971753,5
model_only,512,8.55937,2.9963695183922163,7.1936,9.901627999999999,4.213252429523123,10.712820200000001,4.882938668773672,64105.32659341884,15323.02562851948,5
model_only,4096,11.96001,2.2566910683564996,10.9101,13.552878999999999,3.314281056770456,14.275822400000006,3.883317750311306,350458.7081410896,52909.66674647434,5
