metric,mean,sd,ci95_low,ci95_high,median,q1,q3,min,max,n_seeds
training_time_seconds,19.7671581,5.136718518626192,13.389079646515286,26.145236553484715,19.5596157,16.3005218,20.6985019,14.4732213,27.8039298,5
epochs_executed,17.2,3.420526275297414,12.952855669053184,21.447144330946813,19.0,14.0,20.0,13.0,20.0,5
training_time_per_executed_epoch,1.1490519851156737,0.1697409087621343,0.9382908096833418,1.3598131605480057,1.0893948368421054,1.0338015214285714,1.253886292307692,0.977980785,1.39019649,5
total_calibration_time_seconds,0.69976858,0.16366999230432253,0.4965454429694356,0.9029917170305644,0.6668803,0.5970795,0.6801275999999999,0.5735486000000001,0.9812069,5
model_build_time_seconds,0.7105607199999999,0.20031950707652513,0.46183119992515453,0.9592902400748453,0.6005367,0.5998913,0.7057712,0.5880211,1.0585833,5
model_reload_time_seconds,0.0728454,0.013088260602157951,0.05659417801119176,0.08909662198880824,0.0679406,0.0669753,0.0685209,0.0646789,0.0961113,5
first_prediction_after_reload_seconds,0.008451940000000002,0.0011192220369524541,0.007062242290719856,0.009841637709280147,0.0083566,0.0076392,0.0084192,0.0075264,0.0103183,5
data_preparation_time_seconds,15.178275780000002,1.9339481625011774,12.776961972229966,17.579589587770037,14.1451782,14.0558917,15.7678702,13.6096282,18.3128106,5
model_size_bytes,226534.0,0.0,226534.0,226534.0,226534.0,226534.0,226534.0,226534.0,226534.0,5
