metric,mean,sd,ci95_low,ci95_high,median,q1,q3,min,max,n_seeds
training_time_seconds,19.7672,5.1367,13.3891,26.1452,19.5596,16.3005,20.6985,14.4732,27.8039,5
epochs_executed,17.2,3.4205,12.9529,21.4471,19.0,14.0,20.0,13.0,20.0,5
training_time_per_executed_epoch,1.1491,0.1697,0.9383,1.3598,1.0894,1.0338,1.2539,0.978,1.3902,5
total_calibration_time_seconds,0.6998,0.1637,0.4965,0.903,0.6669,0.5971,0.6801,0.5735,0.9812,5
model_build_time_seconds,0.7106,0.2003,0.4618,0.9593,0.6005,0.5999,0.7058,0.588,1.0586,5
model_reload_time_seconds,0.0728,0.0131,0.0566,0.0891,0.0679,0.067,0.0685,0.0647,0.0961,5
first_prediction_after_reload_seconds,0.0085,0.0011,0.0071,0.0098,0.0084,0.0076,0.0084,0.0075,0.0103,5
data_preparation_time_seconds,15.1783,1.9339,12.777,17.5796,14.1452,14.0559,15.7679,13.6096,18.3128,5
model_size_bytes,226534.0,0.0,226534.0,226534.0,226534.0,226534.0,226534.0,226534.0,226534.0,5
