phase,class,support,detected,missed,recall
ARP Spoofing,Spoofing,1744,1239,505,0.7104357798165137
Impact: DDoS,DDoS-ICMP,349699,349159,540,0.9984558148579207
Impact: DDoS,DDoS-SYN,172397,171968,429,0.9975115576257128
Impact: DDoS,DDoS-TCP,182598,182099,499,0.9972672208896045
Impact: DDoS,DDoS-UDP,362070,361213,857,0.9976330543817494
Impact: DoS,DoS-ICMP,98432,98083,349,0.9964544050715215
Impact: DoS,DoS-SYN,98595,96982,1613,0.9836401440235306
Impact: DoS,DoS-TCP,82096,81750,346,0.9957854219450399
Impact: DoS,DoS-UDP,137553,136935,618,0.9955071863209091
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41582,334,0.9920316824124439
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,7551,865,0.8972195817490495
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3114,17,0.9945704247844139
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,7659,846,0.9005291005291005
Impact: MQTT,MQTT-Malformed_Data,1747,1050,697,0.6010303377218088
Reconnaissance,Recon-OS_Scan,3834,3362,472,0.8768909754825248
Reconnaissance,Recon-Ping_Sweep,186,131,55,0.7043010752688172
Reconnaissance,Recon-Port_Scan,22622,20692,1930,0.9146848200866413
Reconnaissance,Recon-VulScan,1034,619,415,0.5986460348162476
