epoch,loss,val_loss
1,6.299395561218262,1.9276682138442993
2,3.511215925216675,1.4498425722122192
3,3.097079277038574,1.2798658609390259
4,2.788586139678955,1.1461735963821411
5,2.5953612327575684,1.174215316772461
6,2.42700457572937,1.0982637405395508
7,2.351499080657959,1.106499433517456
8,2.2633512020111084,0.9846416115760803
9,2.2068471908569336,1.2115784883499146
10,2.1098852157592773,1.0705910921096802
11,2.0868985652923584,1.0710633993148804
12,2.081838607788086,1.0837236642837524
13,2.004767656326294,1.3154436349868774
