phase,n_classes,support,detected,missed,macro_recall,weighted_recall
Reconnaissance,4,27676,24804,2872,0.7736307264135577,0.8962277785807198
ARP Spoofing,1,1744,1239,505,0.7104357798165137,0.7104357798165137
Impact: DoS,4,416676,413750,2926,0.9928467893402502,0.9929777572982366
Impact: DDoS,4,1066764,1064439,2325,0.9977169119387468,0.9978205113783367
Impact: MQTT,5,63715,60956,2759,0.8770762254393633,0.9566977948677705
