epoch,loss,val_loss
1,6.209432601928711,2.102198600769043
2,3.557469129562378,1.4816261529922485
3,3.1013495922088623,1.2724237442016602
4,2.848789691925049,1.0585925579071045
5,2.6751725673675537,1.0402967929840088
6,2.5056421756744385,0.9993482828140259
7,2.392158269882202,1.1113308668136597
8,2.301790714263916,0.9999452829360962
9,2.23116397857666,1.1479432582855225
10,2.163280725479126,1.0633742809295654
11,2.099611282348633,0.9520750641822815
12,2.094884157180786,1.0246167182922363
13,2.037590980529785,1.184844732284546
14,2.0185792446136475,1.0073957443237305
15,1.9702569246292114,0.9487754106521606
16,1.950235366821289,1.2315517663955688
17,1.9340941905975342,1.5370656251907349
18,1.918582558631897,1.245107889175415
19,1.8991246223449707,1.1475921869277954
20,1.9182064533233643,1.378126859664917
