phase,n_classes,support,detected,missed,macro_recall,weighted_recall
Reconnaissance,4,27676,26370,1306,0.7945782946339813,0.9528110998699234
ARP Spoofing,1,1744,1281,463,0.7345183486238532,0.7345183486238532
Impact: DoS,4,416676,416674,2,0.9999956468931994,0.9999952001075176
Impact: DDoS,4,1066764,1066610,154,0.9998271224170507,0.9998556381730167
Impact: MQTT,5,63715,63021,694,0.920659223973064,0.9891077454288629
