epoch,loss,val_loss
1,6.412739276885986,2.0188148021698
2,3.6240153312683105,1.5230194330215454
3,3.1937875747680664,1.4190385341644287
4,2.9263083934783936,1.1805509328842163
5,2.6836531162261963,1.1277246475219727
6,2.4934027194976807,1.2453995943069458
7,2.3675928115844727,1.1348217725753784
8,2.280266284942627,1.2237155437469482
9,2.195753812789917,1.2533905506134033
10,2.126117467880249,1.1222013235092163
11,2.089090347290039,1.1520696878433228
12,2.0201709270477295,1.1475847959518433
13,2.0131757259368896,1.2233887910842896
14,2.01491379737854,0.9762492775917053
15,1.9617291688919067,1.313697099685669
16,1.911975622177124,1.4772624969482422
17,1.8851149082183838,1.3161156177520752
18,1.876295566558838,1.3617432117462158
19,1.8637969493865967,1.2159929275512695
