percentile,tau,calibration_exceedance_rate,test_benign_fpr_minus_calibration_exceedance,recall_attack,precision_attack,fpr,specificity,balanced_accuracy,f1_attack,f1_macro,kappa,tp,fp,tn,fn,n_alerts
85,0.8685399293899536,0.14999870288219577,0.09516842025977248,0.9972852544281116,0.9941701469793205,0.24516712314196826,0.7548328768580318,0.8760590656430717,0.9957252643211562,0.9018100380290359,0.8036416676197976,1572295,9220,28387,4280,1581515
90,1.485425591468811,0.10000778270682543,0.06706217767289112,0.9895292009577724,0.995988763686277,0.16706996037971655,0.8329300396202834,0.911229620289028,0.9927484747488408,0.8629983785745748,0.7261033978777841,1560067,6283,31324,16508,1566350
95,2.8555333614349365,0.050016862531455104,0.03669571757331263,0.11776540919398062,0.9827393649398974,0.08671258010476773,0.9132874198952323,0.5155264145446065,0.21032658133494045,0.12864192364857166,0.0016335642969231155,185666,3261,34346,1390909,188927
99,7.246398448944092,0.010013749448724933,0.010780251668088428,0.004967096395667824,0.9092070126552885,0.02079400111681336,0.9792059988831866,0.4920865476394272,0.00988021610055085,0.02735097578446823,-0.0007413275325622273,7831,782,36825,1568744,8613
