epoch,loss,val_loss
1,6.209030628204346,1.9710246324539185
2,3.5044491291046143,1.493829369544983
3,3.0616331100463867,1.1483485698699951
4,2.753859281539917,1.081917405128479
5,2.5729944705963135,1.136090636253357
6,2.4123024940490723,1.017106533050537
7,2.2989649772644043,1.1470690965652466
8,2.240654230117798,0.9692577123641968
9,2.1683239936828613,0.8725170493125916
10,2.103728771209717,0.9147225022315979
11,2.1076316833496094,0.9889631271362305
12,2.06630802154541,1.1453983783721924
13,2.0273609161376953,1.3262712955474854
14,2.017516613006592,1.1671305894851685
