phase,n_classes,support,detected,missed,macro_recall,weighted_recall
Reconnaissance,4,27676,25798,1878,0.7790019546300682,0.9321433733198439
ARP Spoofing,1,1744,1283,461,0.7356651376146789,0.7356651376146789
Impact: DoS,4,416676,416662,14,0.9999604035293634,0.9999664007526231
Impact: DDoS,4,1066764,1066570,194,0.9997620822940635,0.9998181415945795
Impact: MQTT,5,63715,61065,2650,0.8765922915966959,0.9584085380208742
