phase,class,support,detected,missed,recall
ARP Spoofing,Spoofing,1744,1283,461,0.7356651376146789
Impact: DDoS,DDoS-ICMP,349699,349645,54,0.9998455814857921
Impact: DDoS,DDoS-SYN,172397,172286,111,0.9993561372877718
Impact: DDoS,DDoS-TCP,182598,182571,27,0.9998521341964315
Impact: DDoS,DDoS-UDP,362070,362068,2,0.9999944762062585
Impact: DoS,DoS-ICMP,98432,98427,5,0.9999492035110533
Impact: DoS,DoS-SYN,98595,98594,1,0.9999898574978447
Impact: DoS,DoS-TCP,82096,82088,8,0.9999025531085558
Impact: DoS,DoS-UDP,137553,137553,0,1.0
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41915,1,0.9999761427617139
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,7396,1020,0.8788022813688213
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3131,0,1.0
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,7545,960,0.8871252204585538
Impact: MQTT,MQTT-Malformed_Data,1747,1078,669,0.6170578133943904
Reconnaissance,Recon-OS_Scan,3834,3371,463,0.8792383933229003
Reconnaissance,Recon-Ping_Sweep,186,124,62,0.6666666666666666
Reconnaissance,Recon-Port_Scan,22622,21670,952,0.957917071876934
Reconnaissance,Recon-VulScan,1034,633,401,0.6121856866537717
